x,y,v
-7.910619,0.927312,0.972413
-7.950194,-0.722213,0.972405
-7.649786,-2.344636,0.972398
-7.022948,-3.870930,0.972390
-6.096980,-5.236611,0.972382
-4.911622,-6.384402,0.972374
-3.517244,-7.266565,0.972367
-1.972627,-7.846787,0.972359
-0.342417,-8.101570,0.972352
1.305618,-8.021059,0.972344
2.903416,-7.609307,0.972337
4.385427,-6.883949,0.972330
5.691262,-5.875338,0.972322
6.768101,-4.625171,0.972315
7.572754,-3.184673,0.972308
8.073299,-1.612428,0.972301
8.250250,0.028056,0.972294
8.097203,1.670943,0.972287
7.620952,3.250717,0.972280
6.841084,4.704782,0.972274
5.789065,5.975906,0.972267
4.506883,7.014418,0.972260
3.045286,7.780078,0.972254
1.461716,8.243548,0.972247
