0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-1.885972,-0.957795,0.027614,1.024230,1.987189,2.874685,3.649583,4.280714,4.743816,5.022139,5.106702,4.996235,4.696840,4.221399,3.588777,2.822870,1.951537,1.005468,0.017029,-0.980881,-1.955915,-2.877282,-3.716644,-4.448886,-5.052742,-5.511277,-5.812207,-5.948074,-5.916275,-5.718949,-5.362745,-4.858474,-4.220671,-3.467080,-2.618082,-1.696077,-0.724857,0.271043,1.266966,2.238739,3.163234,4.018887,4.786146,5.447861,5.989606,6.399913,6.670443,6.796078,6.774931,6.608301,6.300548,5.858919,5.293315,4.616015,3.841361,2.985416,2.065598,1.100303,0.108521,-0.890544,-1.877845,-2.834847,-3.743858,-4.588338,-5.353171,-6.024902,-6.591941,-7.044722,-7.375824,-7.580049,-7.654463,-7.598388,-7.413367,-7.103088,-6.673269,-6.131525,-5.487197,-4.751167,-3.935646,-3.053953,-2.120283,-1.149462,-0.156708,0.842614,1.833228,2.800178,3.729043,4.606146,5.418734,6.155156,6.805000,7.359228,7.810275,8.152129,8.380384,8.492274,8.486680,8.364115,8.126685,7.778034
-4.151298,-4.518073,-4.676516,-4.621878,-4.359144,-3.902245,-3.272945,-2.499485,-1.615078,-0.656304,0.338498,1.330790,2.283298,3.161322,3.933862,4.574542,5.062310,5.381911,5.524140,5.485870,5.269894,4.884582,4.343382,3.664199,2.868671,1.981375,1.028995,0.039467,-0.958856,-1.938017,-2.871209,-3.733458,-4.502224,-5.157911,-5.684273,-6.068711,-6.302472,-6.380732,-6.302591,-6.070960,-5.692373,-5.176714,-4.536882,-3.788400,-2.948977,-2.038050,-1.076294,-0.085133,0.913745,1.898865,2.849409,3.745640,4.569276,5.303829,5.934886,6.450345,6.840592,7.098625,7.220118,7.203441,7.049616,6.762232,6.347317,5.813159,5.170106,4.430322,3.607533,2.716735,1.773912,0.795725,-0.200786,-1.198503,-2.180524,-3.130438,-4.032589,-4.872320,-5.636184,-6.312141,-6.889718,-7.360143,-7.716447,-7.953534,-8.068224,-8.059257,-7.927277,-7.674782,-7.306048,-6.827032,-6.245245,-5.569621,-4.810346,-3.978700,-3.086866,-2.147739,-1.174738,-0.181601,0.817807,1.809692,2.780513,3.717164
0.932686,1.899439,2.794699,3.580940,4.226459,4.706346,5.003129,5.107060,5.016096,4.735585,4.277705,3.660695,2.907912,2.046789,1.107703,0.122829,-0.875003,-1.853397,-2.781403,-3.630426,-4.375006,-4.993462,-5.468385,-5.786982,-5.941264,-5.928089,-5.749070,-5.410351,-4.922279,-4.298971,-3.557812,-2.718885,-1.804367,-0.837894,0.156079,1.152904,2.128347,3.059154,3.923574,4.701818,5.376451,5.932726,6.358827,6.646045,6.788882,6.785073,6.635539,6.344282,5.918210,5.366911,4.702387,3.938740,3.091833,2.178930,1.218315,0.228917,-0.770081,-1.759603,-2.721047,-3.636611,-4.489609,-5.264745,-5.948359,-6.528628,-6.995737,-7.341999,-7.561945,-7.652359,-7.612291,-7.443011,-7.147945,-6.732564,-6.204254,-5.572148,-4.846941,-4.040687,-3.166574,-2.238694,-1.271802,-0.281074,0.718137,1.710536,2.681121,3.615398,4.499590,5.320826,6.067309,6.728469,7.295092,7.759426,8.115259,8.357984,8.484628,8.493864,8.385999,8.162940,7.828140,7.386518,6.844374,6.209273
-4.635824,-4.392323,-3.953439,-3.340148,-2.580023,-1.705744,-0.753517,0.238534,1.231932,2.189305,3.075716,3.859808,4.514741,5.018920,5.356491,5.517611,5.498512,5.301353,4.933904,4.409063,3.744246,2.960684,2.082630,1.136533,0.150191,-0.848089,-1.830308,-2.769528,-3.640566,-4.420609,-5.089726,-5.631288,-6.032282,-6.283513,-6.379709,-6.319519,-6.105417,-5.743521,-5.243330,-4.617398,-3.880945,-3.051433,-2.148101,-1.191487,-0.202933,0.795896,1.783493,2.738957,3.642413,4.475403,5.221219,5.865194,6.394947,6.800564,7.074725,7.212784,7.212785,7.075432,6.804006,6.404241,5.884158,5.253858,4.525292,3.711999,2.828828,1.891650,0.917051,-0.077970,-1.076295,-2.060990,-3.015575,-3.924296,-4.772366,-5.546182,-6.233527,-6.823729,-7.307803,-7.678552,-7.930648,-8.060670,-8.067121,-7.950408,-7.712799,-7.358352,-6.892815,-6.323511,-5.659198,-4.909913,-4.086801,-3.201939,-2.268139,-1.298759,-0.307504,0.691771,1.685256,2.659374,3.600958,4.497424,5.336931,6.108521
2.501060,3.327977,4.024315,4.562782,4.923332,5.093574,5.068857,4.852049,4.453065,3.888155,3.179024,2.351818,1.436018,0.463295,-0.533634,-1.522122,-2.470629,-3.349668,-4.132633,-4.796492,-5.322326,-5.695733,-5.907061,-5.951507,-5.829065,-5.544350,-5.106303,-4.527791,-3.825130,-3.017536,-2.126528,-1.175304,-0.188102,0.810430,1.795857,2.744531,3.634132,4.444148,5.156298,5.754875,6.227030,6.562969,6.756078,6.802977,6.703495,6.460586,6.080173,5.570946,4.944103,4.213054,3.393091,2.501033,1.554851,0.573291,-0.424511,-1.419404,-2.392584,-3.325940,-4.202367,-5.006062,-5.722773,-6.340023,-6.847284,-7.236123,-7.500296,-7.635805,-7.640915,-7.516134,-7.264151,-6.889740,-6.399642,-5.802400,-5.108192,-4.328622,-3.476510,-2.565660,-1.610623,-0.626455,0.371525,1.367978,2.347777,3.296227,4.199282,5.043737,5.817404,6.509274,7.109649,7.610260,8.004352,8.286757,8.453931,8.503977,8.436638,8.253270,7.956795,7.551634,7.043616,6.439882,5.748760,4.979639
-4.123277,-3.566624,-2.853192,-2.014068,-1.084407,-0.101826,0.895173,1.868709,2.782898,3.605060,4.306732,4.864468,5.260412,5.482651,5.525341,5.388634,5.078418,4.605887,3.986974,3.241676,2.393290,1.467595,0.492012,-0.505244,-1.495989,-2.452846,-3.349963,-4.163654,-4.872948,-5.460044,-5.910656,-6.214260,-6.364226,-6.357859,-6.196329,-5.884520,-5.430798,-4.846699,-4.146566,-3.347134,-2.467080,-1.526541,-0.546636,0.451033,1.444856,2.413675,3.337220,4.196506,4.974185,5.654858,6.225332,6.674822,6.995101,7.180595,7.228417,7.138356,6.912814,6.556692,6.077239,5.483859,4.787889,4.002348,3.141661,2.221378,1.257867,0.268019,-0.731059,-1.722337,-2.689150,-3.615465,-4.486134,-5.287123,-6.005714,-6.630684,-7.152450,-7.563185,-7.856908,-8.029533,-8.078895,-8.004746,-7.808714,-7.494245,-7.066513,-6.532308,-5.899906,-5.178919,-4.380126,-3.515300,-2.597019,-1.638474,-0.653270,0.344770,1.341798,2.324136,3.278456,4.191955,5.052516,5.848861,6.570678,7.208749
3.804271,4.398834,4.821557,5.057422,5.099151,4.947087,4.608796,4.098444,3.435966,2.646093,1.757273,0.800541,-0.191635,-1.186480,-2.151977,-3.057849,-3.876430,-4.583399,-5.158383,-5.585398,-5.853144,-5.955153,-5.889782,-5.660084,-5.273547,-4.741733,-4.079825,-3.306099,-2.441343,-1.508244,-0.530746,0.466580,1.459165,2.423031,3.335348,4.174935,4.922702,5.562022,6.079035,6.462876,6.705826,6.803386,6.754284,6.560407,6.226671,5.760837,5.173264,4.476630,3.685615,2.816547,1.887040,0.915611,-0.078698,-1.076703,-2.059442,-3.008529,-3.906480,-4.737011,-5.485309,-6.138261,-6.684649,-7.115301,-7.423206,-7.603586,-7.653922,-7.573950,-7.365611,-7.032970,-6.582100,-6.020939,-5.359118,-4.607769,-3.779314,-2.887242,-1.945871,-0.970108,0.024794,1.023478,2.010716,2.971643,3.891964,4.758163,5.557681,6.279085,6.912207,7.448272,7.879991,8.201641,8.409109,8.499926,8.473269,8.329936,8.072314,7.704310,7.231276,6.659909,5.998138,5.254999,4.440495,3.565453
-3.111279,-2.311329,-1.408579,-0.439955,0.556199,1.541659,2.479737,3.336558,4.082132,4.691237,5.144063,5.426642,5.531052,5.455410,5.203676,4.785274,4.214576,3.510256,2.694559,1.792495,0.831005,-0.161884,-1.157897,-2.129305,-3.049662,-3.894479,-4.641800,-5.272693,-5.771632,-6.126780,-6.330157,-6.377714,-6.269302,-6.008546,-5.602639,-5.062058,-4.400222,-3.633085,-2.778700,-1.856754,-0.888075,0.105849,1.103363,2.083105,3.024457,3.907948,4.715631,5.431404,6.041288,6.533647,6.899357,7.131920,7.227518,7.185019,7.005932,6.694307,6.256598,5.701486,5.039665,4.283599,3.447257,2.545830,1.595436,0.612816,-0.384966,-1.380821,-2.357929,-3.300010,-4.191583,-5.018206,-5.766684,-6.425259,-6.983765,-7.433756,-7.768603,-7.983559,-8.075793,-8.044393,-7.890343,-7.616467,-7.227349,-6.729234,-6.129896,-5.438500,-4.665441,-3.822165,-2.920992,-1.974920,-0.997434,-0.002302,0.996617,1.985565,2.951073,3.880138,4.760388,5.580237,6.329025,6.997143,7.576135,8.058794
4.698333,4.998813,5.106877,5.020300,4.744238,4.290676,3.677668,2.928403,2.070169,1.133224,0.149654,-0.847763,-1.826654,-2.756057,-3.607333,-4.354952,-4.977136,-5.456359,-5.779696,-5.939012,-5.931016,-5.757168,-5.423465,-4.940109,-4.321090,-3.583674,-2.747849,-1.835709,-0.870832,0.122362,1.119243,2.095569,3.028061,3.894922,4.676299,5.354681,5.915228,6.346021,6.638245,6.786286,6.787762,6.643479,6.357326,5.936102,5.389298,4.728822,3.968697,3.124719,2.214098,1.255078,0.266560,-0.732281,-1.722369,-2.685084,-3.602595,-4.458174,-5.236473,-5.923768,-6.508166,-6.979774,-7.330823,-7.555756,-7.651271,-7.616328,-7.452109,-7.161955,-6.751258,-6.227325,-5.599221,-4.877580,-4.074401,-3.202826,-2.276912,-1.311389,-0.321414,0.677665,1.670550,2.642227,3.578182,4.464606,5.288591,6.038295,6.703099,7.273732,7.742380,8.102769,8.350225,8.481706,8.495818,8.392801,8.174496,7.844289,7.407041,6.868993,6.237659,5.521705,4.730815,3.875545,2.967173,2.017542
-1.724501,-0.774278,0.216564,1.209627,2.167576,3.055470,3.841905,4.499960,5.007928,5.349817,5.515631,5.501432,5.309209,4.946560,4.426220,3.765458,2.985370,2.110099,1.166007,0.180832,-0.817156,-1.799962,-2.740631,-3.613938,-4.397003,-5.069809,-5.615627,-6.021328,-6.277592,-6.379016,-6.324115,-6.115233,-5.758357,-5.262868,-4.641208,-3.908499,-3.082120,-2.181243,-1.226352,-0.238759,0.759889,1.748083,2.704901,3.610438,4.446183,5.195366,5.843247,6.377362,6.787704,7.066858,7.210076,7.215301,7.083136,6.816764,6.421826,5.906252,5.280064,4.555141,3.744959,2.864319,1.929048,0.955704,-0.038727,-1.037135,-2.022577,-2.978557,-3.889291,-4.739953,-5.516894,-6.207841,-6.802060,-7.290497,-7.665886,-7.922821,-8.057806,-8.069264,-7.957526,-7.724785,-7.375026,-6.913928,-6.348752,-5.688195,-4.942243,-4.121999,-3.239498,-2.307525,-1.339416,-0.348863,0.650286,1.644217,2.619341,3.562475,4.461011,5.303073,6.077667,6.774805,7.385620,7.902464,8.318982,8.630173
5.092045,5.071399,4.858824,4.464043,3.903120,3.197587,2.373433,1.460011,0.488889,-0.507286,-1.495903,-2.445425,-3.326338,-4.111980,-4.779231,-5.309071,-5.686969,-5.903137,-5.952626,-5.835280,-5.555566,-5.122281,-4.548159,-3.849395,-3.045099,-2.156705,-1.207343,-0.221208,0.777078,1.763082,2.713138,3.604887,4.417764,5.133412,5.736041,6.212705,6.553503,6.751710,6.803831,6.709580,6.471796,6.096295,5.591663,4.969004,4.241646,3.424807,2.535249,1.590897,0.610467,-0.386924,-1.382126,-2.356324,-3.291380,-4.170156,-4.976797,-5.696994,-6.318201,-6.829817,-7.223327,-7.492402,-7.632956,-7.643169,-7.523457,-7.276425,-6.906767,-6.421142,-5.828025,-5.137527,-4.361197,-3.511806,-2.603119,-1.649657,-0.666456,0.331175,1.327897,2.308574,3.258493,4.163582,5.010601,5.787319,6.482680,7.086930,7.591742,7.990299,8.277367,8.449335,8.504238,8.441751,8.263163,7.971332,7.570616,7.066788,6.466932,5.779328,5.013322,4.179183,3.287956,2.351304,1.381351,0.390521
-0.122162,0.874124,1.847812,2.763036,3.587091,4.291454,4.852584,5.252504,5.479154,5.526533,5.394625,5.089148,4.621134,4.006361,3.264689,2.419294,1.495861,0.521738,-0.474906,-1.465904,-2.423872,-3.322926,-4.139324,-4.852018,-5.443114,-5.898216,-6.206680,-6.361751,-6.360600,-6.204265,-5.897503,-5.448557,-4.868848,-4.172619,-3.376515,-2.499139,-1.560573,-0.581894,0.415318,1.409457,2.379354,3.304710,4.166496,4.947308,5.631676,6.206329,6.660393,6.985548,7.176120,7.229120,7.144239,6.923779,6.572545,6.097695,5.508553,4.816378,4.034125,3.176165,2.258001,1.295972,0.306946,-0.691978,-1.683769,-2.651745,-3.579851,-4.452903,-5.256822,-5.978840,-6.607672,-7.133671,-7.548939,-7.847421,-8.024955,-8.079300,-8.010127,-7.818992,-7.509266,-7.086053,-6.556077,-5.927556,-5.210045,-4.414278,-3.551987,-2.635718,-1.678636,-0.694332,0.303380,1.300653,2.283801,3.239480,4.154864,5.017808,5.816996,6.542078,7.183786,7.734041,8.186030,8.534278,8.774690,8.904582
4.952091,4.617824,4.111385,3.452531,2.665829,1.779586,0.824723,-0.166379,-1.160995,-2.127129,-3.034493,-3.855375,-4.565387,-5.144057,-5.575290,-5.847654,-5.954541,-5.894161,-5.669420,-5.287661,-4.760311,-4.102428,-3.332176,-2.470253,-1.539268,-0.563114,0.433671,1.426529,2.391473,3.305642,4.147807,4.898813,5.541953,6.063276,6.451814,6.699739,6.802440,6.758530,6.569783,6.241005,5.779850,5.196583,4.503795,3.716088,2.849728,1.922279,0.952222,-0.041425,-1.039482,-2.022985,-2.973525,-3.873586,-4.706841,-5.458422,-6.115151,-6.665738,-7.100933,-7.413643,-7.599002,-7.654405,-7.579499,-7.376139,-7.048307,-6.601996,-6.045072,-5.387097,-4.639145,-3.813587,-2.923869,-1.984275,-1.009690,-0.015353,0.983382,1.971284,2.933470,3.855624,4.724196,5.526590,6.251324,6.888181,7.428327,7.864412,8.190648,8.402857,8.498503,8.476692,8.338159,8.085222,7.721728,7.252967,6.685583,6.027452,5.287566,4.475888,3.603210,2.680999,1.721236,0.736257,-0.261408,-1.259200
